what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334102669452
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334102674887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334102675136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334102685022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334102689186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334102690136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334102703495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334102706886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334102714510
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334102716158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334102716465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334102723606
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334102733162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334102734410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334102736448
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334102737221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334102737434
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334102754818
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334102762227
