what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106076961
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106078327
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106079134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106079401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106086212
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1334106088262
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1334106110805
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334106111710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106113989
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1334106114485
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1334106115149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106116340
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106117048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106117296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106131395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106135816
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106136516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106136928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106145248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106147055
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106147456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106147777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106157887
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334106159832
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1334106160884
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106162729
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106163386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106163716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106187036
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334106189092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106197003
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106197672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106197972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106206421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106211139
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106216478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106216766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106223249
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106224776
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106225465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106225705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106237300
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1334106238707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106241294
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106241871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106242244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106250223
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106252897
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106253703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106253941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106265947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106270784
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106271514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106271775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106278916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106282756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106284680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106286370
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334106293952
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334106294984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106295588
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106296334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106296705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106313450
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1334106320832
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1334106321304
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1334106322824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334106326176
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106326678
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106327837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106328285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106348306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106354531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106355198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334106361088
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334106361503
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334106362163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106363193
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334106365687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106366449
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106367147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106367456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106376653
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334106388655
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334106388822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334106390697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106391695
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106392324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106392689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106407547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334106411332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334106420513
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334106423551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334106464244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334106465703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106472359
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106473825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106474096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106484126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106487661
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106488324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106488637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106497827
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1334106499652
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334106500060
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334106500332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334106507164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334106512335
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334106514831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106520548
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106521104
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106521465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106525025
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334106526003
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106530549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106530924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106538628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106540074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106540427
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334106541448
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334106544065
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334106544203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106545122
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106546090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106668485
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334106677034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106677279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334106690599
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334106693410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334106693799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334106693951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334106694097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334106694241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334106694385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334106695220
